V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
0.285714285714286,0,0,0,0,0.0476190476190476,0,0.142857142857143,0,0.142857142857143,0,0,0,0,0.0476190476190476,0,0.0476190476190476,0.238095238095238,0,0.0476190476190476,2.37142857142857,20,8.74761585817074,0.193452470279787
0.0476190476190476,0,0,0,0,0.0476190476190476,0.0476190476190476,0,0,0.333333333333333,0.0476190476190476,0,0,0,0,0.0952380952380952,0.0476190476190476,0.238095238095238,0.0476190476190476,0.0476190476190476,2.05714285714286,20,6.45609906566052,0.131373246769485
0.176470588235294,0,0,0,0.0588235294117647,0.117647058823529,0,0.176470588235294,0,0.0588235294117647,0.117647058823529,0,0,0,0,0.0588235294117647,0,0.117647058823529,0.0588235294117647,0.0588235294117647,1.99411764705882,16,5.52429840689969,0.126542800025443
0.142857142857143,0,0,0,0.142857142857143,0.19047619047619,0,0.19047619047619,0,0.0952380952380952,0.0952380952380952,0,0,0,0,0,0,0.142857142857143,0,0,2.58095238095238,20,5.27499835663696,0.0899319208065105
0.130434782608696,0,0,0.0434782608695652,0,0.0434782608695652,0,0.0869565217391304,0.0434782608695652,0.304347826086957,0,0,0,0,0,0.0434782608695652,0.0869565217391304,0.130434782608696,0,0.0869565217391304,1.78260869565217,22,5.66330738283518,0.0667228003706858
0.142857142857143,0,0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0,0,0,0.380952380952381,0,0,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0952380952380952,0,0.0952380952380952,0,0,1.51904761904762,20,5.97221798284485,0.284854986842417
0.19047619047619,0,0,0,0.0476190476190476,0.0952380952380952,0,0,0,0.380952380952381,0,0,0,0,0,0.0952380952380952,0,0.0476190476190476,0.0952380952380952,0.0476190476190476,1.86190476190476,20,5.56914028478235,0.0883435706422838
0.0476190476190476,0.0476190476190476,0,0,0.0952380952380952,0.0476190476190476,0,0.238095238095238,0,0.0952380952380952,0.0476190476190476,0,0.0952380952380952,0.0476190476190476,0,0,0,0.0952380952380952,0.0476190476190476,0.0952380952380952,1.89047619047619,20,5.51674458315642,0.0337950857380603
0.142857142857143,0.0476190476190476,0,0,0.0952380952380952,0.0476190476190476,0,0,0,0.238095238095238,0,0,0.0476190476190476,0,0,0.0476190476190476,0.0476190476190476,0.19047619047619,0.0476190476190476,0.0476190476190476,2.07619047619048,20,5.48837307082961,0.0251612235839224
0.19047619047619,0,0,0,0,0.142857142857143,0,0.238095238095238,0,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0.0952380952380952,0,0.0476190476190476,2.13809523809524,20,5.56914028478235,0.0534892949244801
